name,review,star,review_num,ave_star
인크커피 가산 플래그십 스토어,"카페 분위기는 좋으나 디저트 준비하는 곳에서 일하시는 여자 알바가 너무 싸가지 없어서 기분 다 망쳤습니다 ^^인원이 많아 테이블 두개로 나눠 앉아서 두개의 트레이에 디저트를 나눠 담고 한번에 결제했는데주문서도 잘 안보고 준비하는지.. 트레이 둘 다 챙겨가려하니 그쪽거 아니라고 하길래 저희꺼 맞아요~라고 하니 아니라고요;라고 하며 못 가져가게 해서 저희가 시킨거 맞고 나눠서 담았다니까 주문서도 다시 찾아보지않는 완강한 태도와 싸가지없는 말투오로 그쪽 테이블거 아니라고요!;;하며 무시하듯 답변몇번을 맞다 아니다로 할게 아니라 이쯤되면 주문서 한번 다시 볼법도 하지않나요?ㅎㅎ..어찌나 황당하던지..버터바 두개시켰는데 하나밖에 없고 저희가 시킨게 맞다니까 그제서야 주문서 보더니 다른 테이블 다른 디저트 주문서를 밑에 끼워두고는 이게 뭐야..라며 당황하시더라고요.끝까지 단 한마디의 사과도 받진 못했습니다^^몇번을 맞다고 하면 적어도 주문서를 다시 한번 보실 생각은 없으신가요? 무시하는 듯한 말투, 째려보는 눈, 뭐 엄청난 친절과 서비스를 바라며 카페를 가진 않으나.. 아무리 그래도 본인이 착각하신거면 적어도 사과는 하셨어야하는 거 아닌가 싶습니다.접기",1.0,1,1.0
인크커피 가산 플래그십 스토어,빵 맛있음더보기,5.0,10,4.2
인크커피 가산 플래그십 스토어,트리가 너모 예뻐요ㅠㅠㅜㅜ♡♡♡사실 트리만 보고 방문했는데커피랑 빵도 맛있고카페 내부가 넓어서 손님들 많아도쾌적하더라구요토요일 6시 방문했는데 사람들이 많지 않아여유있게 커피마시고 사진찍고 놀다왔네요주차 자리 협소하니 주변 건물 주차장에주차하세요~ 그게 훨씬 낫습니당...!참고로 바로 옆 건물 주차비 3시간에 4천원입니다. 연말 분위기 느끼고 싶으면 꼭 방문하세요!!접기,5.0,34,4.5
인크커피 가산 플래그십 스토어,더보기,4.0,253,3.5
인크커피 가산 플래그십 스토어,커피가 맛있고 매장 디자인이 감각적더보기,5.0,25,3.5
인크커피 가산 플래그십 스토어,사진은 할로윈 전에찍은거에요자리가 엄청많고빵 종류도 많이 있는편입니다미팅장소에 좋은거같아요접기,4.0,34,4.2
인크커피 가산 플래그십 스토어,커피 맛있고 공간이 멋있다 베이커리는 ㄴㄴ더보기,4.0,167,3.4
인크커피 가산 플래그십 스토어,매장이 매우 넓은 점이 마음에 들었습니다 직원분들도 친절하세요더보기,5.0,11,4.2
인크커피 가산 플래그십 스토어,일단 드립커피 합격시그니처커피 굿더보기,4.0,60,3.4
인크커피 가산 플래그십 스토어,커피도 맛있고 빵도 맛있는데 평일 아님 주말 2시에 가면 앉아서 못 먹는다고 봐야해요..더보기,5.0,19,3.9
인크커피 가산 플래그십 스토어,빵 케잌 특히나 종맛탱구리..더보기,5.0,91,4.4
인크커피 가산 플래그십 스토어,넓어서 얘기하기 편하고 여유로웠어요. 치아바타 얼그레이 드립커피 추천합니다. 케이크나 달달한 빵은 평범했어요.더보기,5.0,44,4.1
인크커피 가산 플래그십 스토어,더보기,5.0,101,2.3
인크커피 가산 플래그십 스토어,아메리카노 맛집!더보기,4.0,34,4.0
인크커피 가산 플래그십 스토어,커피도 맛있고 빵도 맛있는데 평일 아님 주말 2시에 가면 앉아서 못 먹는다고 봐야해요..더보기,5.0,19,3.9
인크커피 가산 플래그십 스토어,빵 케잌 특히나 종맛탱구리..더보기,5.0,91,4.4
인크커피 가산 플래그십 스토어,넓어서 얘기하기 편하고 여유로웠어요. 치아바타 얼그레이 드립커피 추천합니다. 케이크나 달달한 빵은 평범했어요.더보기,5.0,44,4.1
인크커피 가산 플래그십 스토어,더보기,5.0,101,2.3
인크커피 가산 플래그십 스토어,아메리카노 맛집!더보기,4.0,34,4.0
인크커피 가산 플래그십 스토어,커피도 맛있고 빵도 맛있는데 평일 아님 주말 2시에 가면 앉아서 못 먹는다고 봐야해요..더보기,5.0,19,3.9
인크커피 가산 플래그십 스토어,빵 케잌 특히나 종맛탱구리..더보기,5.0,91,4.4
인크커피 가산 플래그십 스토어,넓어서 얘기하기 편하고 여유로웠어요. 치아바타 얼그레이 드립커피 추천합니다. 케이크나 달달한 빵은 평범했어요.더보기,5.0,44,4.1
